mse,real_bit_rate,prior_bit_rate,whole_code_size,num_planes,lr,tau,reconst_ld
-20.002047510049508,1.9209712,1.9938958259284496,4,2,0.001,1,50
-19.998681381019235,0.9645338,1.9910278734922409,4,2,0.001,1,50
-20.001182182877308,1.1900821,1.9812104242801667,4,2,0.001,1,50
-21.657981933776348,2.3115194,2.4892076646476986,8,3,0.001,1,50
-24.067452717745986,2.9817755,1.9710743258953096,8,3,0.001,1,50
-20.00013492485907,1.7619739,2.9832066399633885,8,3,0.001,1,50
-22.511743217099745,1.7596987,2.2973039566874505,9,2,0.001,1,50
-22.9064266715768,2.543256,2.3216322904229165,9,2,0.001,1,50
-22.790946223033693,2.6463282,2.323826096779108,9,2,0.001,1,50
-26.24709974484151,4.1423616,3.1040731779038904,27,3,0.001,1,50
-22.50296580898629,3.764658,3.8215351588904856,27,3,0.001,1,50
-25.654915255159253,4.7424097,3.1875639445185664,27,3,0.001,1,50
-23.723973691135242,3.20095,2.9390251633405686,16,2,0.001,1,50
-20.00468141257466,1.6666465,3.975941649055481,16,2,0.001,1,50
-20.42536712167749,2.4625347,3.1477500210046765,16,2,0.001,1,50
-26.67218763121042,5.6395364,4.0867422087192535,64,3,0.001,1,50
-26.856928854898037,5.607404,4.013459956300259,64,3,0.001,1,50
-26.380612073975872,5.4080963,4.100978549802303,64,3,0.001,1,50
-21.371835364529197,1.4999871,1.3923460159510375,4,2,0.001,1,100
-21.528612626055804,1.7651407,1.4474150311410428,4,2,0.001,1,100
-24.01814499364435,1.9889231,0.973325180491805,4,2,0.001,1,100
-23.5215685700313,2.994142,1.8438987177073956,8,3,0.001,1,100
-23.416850764155946,2.9244852,1.6099068181067704,8,3,0.001,1,100
-24.163798001371127,2.9432507,1.6281225204437972,8,3,0.001,1,100
-25.89904177101856,3.1683326,1.5244005856096745,9,2,0.001,1,100
-25.981767299161934,3.140116,1.5487958423852919,9,2,0.001,1,100
-25.40095133822279,3.1365585,1.597875864610076,9,2,0.001,1,100
-24.579653259370208,3.6881466,2.659735041114688,27,3,0.001,1,100
-24.616485989007376,4.629211,2.696351758262515,27,3,0.001,1,100
-25.385042502702383,4.711992,2.8253615396380427,27,3,0.001,1,100
-25.032141632411417,3.7972336,2.003957460987568,16,2,0.001,1,100
-25.053184838734328,3.7513752,2.1368265204012395,16,2,0.001,1,100
-26.531690988883394,3.8324747,2.085460083889961,16,2,0.001,1,100
-27.192526941926147,5.5118117,3.5387131939798593,64,3,0.001,1,100
-28.17626366869572,5.6758924,3.700978036159277,64,3,0.001,1,100
-28.005005621109724,5.312079,3.7537684119284154,64,3,0.001,1,100
-21.633285490002688,1.8186553,0.46935920394808056,4,2,0.001,1,400
-21.621938791073276,1.8187702,0.4712195022530854,4,2,0.001,1,400
-21.956110414573494,1.9826775,0.5502798259362578,4,2,0.001,1,400
-22.295778170952183,2.9211617,0.6396742917325349,8,3,0.001,1,400
-22.288387535878563,2.930637,0.6387223616037518,8,3,0.001,1,400
-22.2972109890102,2.930863,0.6373193174544722,8,3,0.001,1,400
-21.954896623057408,3.0694814,0.5497851193249226,9,2,0.001,1,400
-22.900132257484877,3.092153,0.7624071647331119,9,2,0.001,1,400
-22.921646926777175,2.979506,0.7758106470793485,9,2,0.001,1,400
-24.83421007845017,4.506692,1.2178840330511331,27,3,0.001,1,400
-25.346407316137515,4.5981894,1.3126617506012321,27,3,0.001,1,400
-24.979615434827398,4.5729723,1.2370025840833783,27,3,0.001,1,400
-23.4809772884198,3.840621,0.9206485370218753,16,2,0.001,1,400
-23.21337116764852,3.9074965,0.8238114365339279,16,2,0.001,1,400
-23.197906073290547,3.7681417,0.8237593230709432,16,2,0.001,1,400
-26.033336543848424,5.741915,1.4607243768945337,64,3,0.001,1,400
-26.67012593683588,5.9131436,1.6929451798439026,64,3,0.001,1,400
-25.594590835019883,5.84726,1.4293742332413792,64,3,0.001,1,400
